ID,Lab 01: Simple Math (Warm-Up) (2342736),Lab 02: Functions (Application) (2342737),Lab 03: Flow Control (Warm-Up) (2342738),Lab 04: Operation Station (Warm-Up) (2342740),Lab 05: Complex Conditionals (Application) (2342742),Lab 06: Grocery List (Warm Up) (2342743),Lab 07: Coaster Loop (Application) (2342745),Lab 08: Colors And Texts (Warm Up) (2342746),Lab 09: Dictionaries (Warm Up) (2342748),Lab 10: Perfectionist Pancakes (Warm Up) (2342751),Lab 11: Participation / Activity Grade (2342753),Module 1 - RPA 1: Knowledge Check (2342754),Module 2 - RPA 2: Knowledge Check (2342755),Module 3 - RPA 3: Knowledge Check (2342756),Module 4: RPA 4 - Knowledge Check (2342757),Module 5: RPA 5 - Knowledge Check (2342758),Module 6: RPA 6 - Knowledge Check (2342759),Module 7: RPA 7 - Knowledge Check (2342760),Coding Exam 1 (2342729),Coding Exam 2 (2342730),Final Coding Exam (2342733),Exam 1 (2342731),Exam 2 (2342732),Final Exam (2342734),Formative - Labs Current Score,Formative - Labs Final Score,Formative: Knowledge Checks - RPAs Current Score,Formative: Knowledge Checks - RPAs Final Score,"Summative - Attendance, Reflections, U-Behavior Current Score","Summative - Attendance, Reflections, U-Behavior Final Score",Summative: Coding Exam Current Score,Summative: Coding Exam Final Score,Summative: Canvas Exam Current Score,Summative: Canvas Exam Final Score,Current Score,Final Score,Current Grade,Final Grade
CS152SP24_18,2,4,2,2,4,2,4,2,2,2,0,4,4,4,4,4,4,4,4,3,4,14.67,15,15.56,95.65,95.65,100,100,100,100,91.67,91.67,94.21,94.21,95.6,95.6,A,A
CS152SP24_19,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,13.67,14.75,15.04,100,100,100,100,95.83,95.83,100,100,90.53,90.53,97.22,97.22,A,A
CS152SP24_20,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,4,4,3,15,15,14.67,96.74,96.74,100,100,100,100,91.67,91.67,93.06,93.06,95.53,95.53,A,A
CS152SP24_21,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,4,4,4,15.67,14.17,12.67,92.39,92.39,100,100,100,100,100,100,88.54,88.54,95.61,95.61,A,A
CS152SP24_22,2,4,2,2,4,1,2,2,2,0.5,2,4,4,4,4,4,4,4,4,4,4,11,10.7,10.24,90.22,90.22,100,100,100,100,100,100,66.54,66.54,89.68,89.68,B,B
CS152SP24_23,2,4,0,0,4,2,0,0,2,2,2,4,4,4,0,0,0,0,2,0,0,15.33,3.73,5.11,65.22,65.22,42.86,42.86,33.33,33.33,16.67,16.67,50.37,50.37,41.71,41.71,F,F
CS152SP24_24,2,4,2,2,4,2,4,2,2,0,0,4,4,4,4,4,4,4,4,4,1,13.33,12.08,13.93,82.61,82.61,100,100,66.67,66.67,75,75,81.96,81.96,82.43,82.43,B,B
CS152SP24_25,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,15,15,13.33,100,100,100,100,91.67,91.67,100,100,90.28,90.28,96.74,96.74,A,A
CS152SP24_26,2,4,2,2,4,2,1,2,2,0.5,2,4,3.67,4,4,3.83,3,4,4,4,4,15,11.8,11.78,81.52,81.52,94.64,94.64,95.83,95.83,100,100,80.37,80.37,89.91,89.91,B,B
CS152SP24_27,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,4,4,3,16,13.67,12.22,96.74,96.74,100,100,95.83,95.83,91.67,91.67,87.27,87.27,93.66,93.66,A,A
CS152SP24_28,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,2,4,4,16,15,16,100,100,100,100,95.83,95.83,83.33,83.33,97.92,97.92,94.9,94.9,A,A
CS152SP24_29,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,2,1,4,13.5,16,16,96.74,96.74,100,100,100,100,58.33,58.33,94.79,94.79,87.63,87.63,B,B
CS152SP24_30,2,4,2,2,4,2,4,2,2,2,2,4,3,4,3,3.67,4,3.6,4,4,4,13.83,13.08,10.96,100,100,90.24,90.24,91.67,91.67,100,100,78.92,78.92,91.94,91.94,A,A
CS152SP24_31,2,4,2,2,4,0,4,0,0,0,0,4,4,4,4,4,4,4,4,4,4,13.33,13.47,12.67,39.13,39.13,100,100,87.5,87.5,100,100,82.22,82.22,82.13,82.13,B,B
CS152SP24_32,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,15.17,15,13.19,95.65,95.65,100,100,95.83,95.83,100,100,90.32,90.32,96.29,96.29,A,A
CS152SP24_33,2,4,2,0,4,2,4,2,2,0,2,4,3.33,4,4,3.75,4,3.6,1,2,2,13,12.23,8.31,86.96,86.96,95.3,95.3,87.5,87.5,41.67,41.67,69.88,69.88,73.09,73.09,C,C
CS152SP24_34,2,4,2,2,4,2,4,2,2,2,2,4,4,3,4,2.25,3,1.8,1,4,4,14,12.37,12.07,100,100,78.75,78.75,91.67,91.67,75,75,80.08,80.08,83.69,83.69,B,B
CS152SP24_35,2,4,2,2,3,2,4,2,2,2,2,4,4,4,4,4,4,4,4,2,4,15,14.58,14.07,89.13,89.13,100,100,91.67,91.67,83.33,83.33,90.95,90.95,90.56,90.56,A,A
CS152SP24_36,2,4,2,2,4,2,0,2,2,2,0,4,4,4,4,4,4,4,3,4,4,13.67,15.63,13.93,65.22,65.22,100,100,33.33,33.33,91.67,91.67,90.05,90.05,81.81,81.81,B,B
CS152SP24_37,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,14.5,10.47,12.34,95.65,95.65,100,100,91.67,91.67,100,100,77.72,77.72,92.73,92.73,A,A
CS152SP24_38,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,16,12.8,12.81,78.26,78.26,100,100,83.33,83.33,100,100,86.7,86.7,90.66,90.66,A,A
CS152SP24_39,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,13.75,10.38,14.67,100,100,100,100,100,100,100,100,80.83,80.83,95.21,95.21,A,A
CS152SP24_40,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,2,13.75,12.97,13.19,100,100,100,100,95.83,95.83,83.33,83.33,83.13,83.13,91.2,91.2,A,A
CS152SP24_41,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,4,4,4,12,8.45,9.3,88.04,88.04,100,100,91.67,91.67,100,100,61.99,61.99,87.27,87.27,B,B
CS152SP24_42,2,4,2,2,3,2,4,1.5,2,2,2,3.67,4,4,4,3.83,4,4,4,4,4,12.67,12.92,13.63,70.65,70.65,98.21,98.21,58.33,58.33,100,100,81.69,81.69,85.03,85.03,B,B
CS152SP24_43,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,1,4,15,13.67,14.15,95.65,95.65,100,100,83.33,83.33,75,75,89.2,89.2,88.51,88.51,B,B
CS152SP24_44,2,4,2,2,4,2,1,2,2,0.5,2,4,4,4,4,4,4,4,1,4,2,14.08,12.75,10.59,90.22,90.22,100,100,100,100,58.33,58.33,77.97,77.97,82.12,82.12,B,B
CS152SP24_45,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,1,4,2,16,16,15.48,100,100,100,100,100,100,58.33,58.33,98.92,98.92,89.31,89.31,B,B
CS152SP24_46,2,4,2,2,4,2,1,2,2,0.5,2,4,4,4,3.8,4,4,4,4,4,4,14.67,12.67,11.78,90.22,90.22,99.29,99.29,91.67,91.67,100,100,81.48,81.48,92.44,92.44,A,A
CS152SP24_47,2,4,2,2,4,2,4,2,2,0.5,0,4,4,4,4,4,4,4,4,2,4,15,13.05,11.53,75,75,100,100,95.83,95.83,83.33,83.33,82.45,82.45,86.03,86.03,B,B
CS152SP24_48,2,4,2,1.5,0,0,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,0,20.65,20.65,25,25,33.33,33.33,25,25,0,0,18.71,18.71,F,F
CS152SP24_49,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,15,15,15.11,91.3,91.3,100,100,95.83,95.83,100,100,93.98,93.98,96.34,96.34,A,A
CS152SP24_50,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,1,4,4,14.33,14.5,14.67,100,100,100,100,95.83,95.83,75,75,90.62,90.62,90.99,90.99,A,A
CS152SP24_51,2,4,2,2,4,2,3,2,2,0.5,2,4,4,4,4,4,4,4,1,4,4,14.75,12.85,14.52,94.57,94.57,100,100,95.83,95.83,75,75,87.75,87.75,89.18,89.18,B,B
CS152SP24_52,2,4,2,2,4,2,3,2,2,0,0,4,4,4,4,3.83,3.5,4,4,4,1,15,14.8,14.49,71.74,71.74,97.62,97.62,29.17,29.17,75,75,92.27,92.27,78.61,78.61,C,C
CS152SP24_53,2,4,2,2,4,2,2,2,2,0.5,2,4,4,4,4,4,4,4,0,3,2,11.83,7.97,11.33,83.7,83.7,100,100,83.33,83.33,41.67,41.67,64.86,64.86,71.7,71.7,C,C
CS152SP24_54,2,4,2,2,4,2,3,0,2,0,0,4,3,4,4,3,3,3.2,4,1,2,14,14.67,14.15,84.78,84.78,86.43,86.43,79.17,79.17,58.33,58.33,89.2,89.2,79.04,79.04,C,C
CS152SP24_55,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,4,4,4,12,13.25,10.3,83.7,83.7,100,100,100,100,100,100,74.05,74.05,90.25,90.25,A,A
CS152SP24_56,2,4,2,2,4,2,4,2,2,0,2,4,4,4,4,4,4,3.6,4,4,4,11.5,12.08,11.7,95.65,95.65,98.57,98.57,95.83,95.83,100,100,73.51,73.51,91.81,91.81,A,A
CS152SP24_57,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,1,1,1,13.5,13.8,12.74,92.39,92.39,100,100,66.67,66.67,25,25,83.42,83.42,72.25,72.25,C,C
CS152SP24_58,2,4,2,2,4,2,4,2,2,2,0,4,4,4,4,4,4,4,1,4,3,12,13.22,8.81,65.22,65.22,100,100,45.83,45.83,66.67,66.67,70.9,70.9,72.02,72.02,C,C
CS152SP24_59,2,4,0.5,2,4,2,2,0,2,2,2,4,3.67,4,4,4,4,3.2,1,4,1,11.67,12.5,14.74,83.7,83.7,95.95,95.95,91.67,91.67,50,50,81.06,81.06,77.86,77.86,C,C
CS152SP24_60,2,4,2,2,4,2,4,2,2,2,2,4,4,0,4,4,4,4,4,4,4,14.25,13.8,14,82.61,82.61,85.71,85.71,66.67,66.67,100,100,87.6,87.6,87.23,87.23,B,B
CS152SP24_61,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,14.5,13.25,14.56,100,100,100,100,100,100,100,100,88.15,88.15,97.04,97.04,A,A
CS152SP24_62,2,4,2,2,4,2,4,2,2,2,0,4,4,4,4,4,4,4,4,4,4,9.83,6.25,9.57,82.61,82.61,100,100,95.83,95.83,100,100,53.45,53.45,84.47,84.47,B,B
CS152SP24_63,2,4,2,2,4,2,4,0.5,2,2,2,4,4,4,4,4,4,4,4,4,4,13.75,14.07,13.48,90.22,90.22,100,100,79.17,79.17,100,100,86.04,86.04,92.47,92.47,A,A
CS152SP24_64,2,4,2,2,4,2,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,10.5,11.8,14.67,97.83,97.83,100,100,95.83,95.83,100,100,77.01,77.01,93.4,93.4,A,A
CS152SP24_65,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,15,9.63,13.78,100,100,100,100,95.83,95.83,100,100,80.02,80.02,94.59,94.59,A,A
CS152SP24_66,2,4,2,2,4,2,4,2,2,0.5,0,4,4,4,4,4,4,4,4,3,4,13,14,10.89,92.39,92.39,100,100,83.33,83.33,91.67,91.67,78.94,78.94,89.46,89.46,B,B
CS152SP24_67,2,0,0,2,0,0,0,2,0,0,0,4,3.67,4,4,4,4,0,1,4,0,14.17,12.8,0,13.04,13.04,84.52,84.52,25,25,41.67,41.67,56.18,56.18,46.48,46.48,F,F
CS152SP24_68,2,4,2,2,4,2,3,2,2,0,2,4,4,4,4,4,4,3.2,1,4,4,14,12.25,14.49,84.78,84.78,97.14,97.14,87.5,87.5,75,75,84.87,84.87,85.1,85.1,B,B
CS152SP24_69,2,4,2,0,0,0,0,2,0,0,0,4,4,4,3.55,1.25,0,0,1,0,0,14.67,0,0,34.78,34.78,60,60,45.83,45.83,8.33,8.33,30.56,30.56,33.26,33.26,F,F
CS152SP24_70,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,3,14,15,13.7,95.65,95.65,100,100,95.83,95.83,91.67,91.67,88.97,88.97,93.87,93.87,A,A
CS152SP24_71,2,4,2,2,4,2,2,2,2,0.5,2,4,4,4,4,4,4,4,4,4,1,15,13.75,13.11,92.39,92.39,100,100,100,100,75,75,87.21,87.21,89.03,89.03,B,B
CS152SP24_72,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,2,4,4,15.67,15,13.41,83.7,83.7,100,100,79.17,79.17,83.33,83.33,91.82,91.82,88.44,88.44,B,B
CS152SP24_73,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,14,11.92,13.11,100,100,100,100,91.67,91.67,100,100,81.31,81.31,94.49,94.49,A,A
CS152SP24_74,2,4,2,2,4,2,4,2,2,0.5,0,4,4,4,4,4,3.25,3.6,4,4,4,16,14,14.37,75,75,95.89,95.89,66.67,66.67,100,100,92.44,92.44,88.95,88.95,B,B
CS152SP24_75,2,4,2,2,4,2,3,2,2,0,2,4,3,4,4,3.75,4,4,4,4,4,14.75,14.33,10.74,93.48,93.48,95.54,95.54,83.33,83.33,100,100,82.97,82.97,91.88,91.88,A,A
CS152SP24_76,2,4,2,2,4,2,4,2,2,2,0,4,4,4,4,4,4,4,4,3,4,10.67,8.08,9.1,69.57,69.57,100,100,91.67,91.67,91.67,91.67,58.01,58.01,80.5,80.5,B,B
CS152SP24_77,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,14,16,14.67,100,100,100,100,91.67,91.67,100,100,93.06,93.06,97.43,97.43,A,A
CS152SP24_78,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,2,4,14,12.1,13.11,100,100,100,100,95.83,95.83,83.33,83.33,81.69,81.69,90.84,90.84,A,A
CS152SP24_79,2,4,2,0,0,2,0,2,0,0,0,4,4,4,3.35,3.83,2,2.2,4,0,0,13.75,10.88,13.7,34.78,34.78,83.51,83.51,83.33,83.33,33.33,33.33,79.87,79.87,60.29,60.29,D,D
CS152SP24_80,2,4,2,2,4,2,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,14.5,13.55,12.3,97.83,97.83,100,100,91.67,91.67,100,100,84.05,84.05,94.75,94.75,A,A
CS152SP24_81,2,4,2,2,4,2,4,2,2,0,2,4,4,4,4,2.83,3.75,2.4,4,3,1,15.67,14.17,10.81,91.3,91.3,89.23,89.23,91.67,91.67,66.67,66.67,84.68,84.68,83.11,83.11,B,B
CS152SP24_82,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,13,16,13.78,95.65,95.65,100,100,100,100,100,100,89.12,89.12,96.41,96.41,A,A
CS152SP24_83,2,4,2,2,4,2,4,2,2,0.5,0,3,3,4,3,3,0,3.2,4,4,4,9.17,5.08,6.43,75,75,68.57,68.57,87.5,87.5,100,100,43.08,43.08,73.23,73.23,C,C
CS152SP24_84,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,4.35,0,0,0,0,0,0,0,0,0.91,0.87,F,F
